"full_name","followers","following","posts","engagement_rate_percent","potential_reach_per_million"
"David Beckham ",88348986,622,1905,0.64,26.1
"Emma Watson ",74323234,119,450,1.41,22.6
"Tom Holland ",65111673,326,1261,4.52,19.9
"Millie Bobby Brown ",63458434,869,509,0.02,19
"Adele ",57578034,1,495,4.14,16.8
"Zayn Malik ",51872538,13,40,5.09,15.7
"Ed Sheeran ",47886518,4,2400,0.81,14.1
"Liverpool Football Club ",45626236,296,28157,0.39,13.3
"Cara Delevingne ",41332321,1380,2869,0.55,12.6
"Jason Statham ",42393492,0,350,2.4,12.2
"Lewis Hamilton ",37546074,5,1470,3.01,10.6
"Victoria Beckham ",33038852,274,5925,0.07,9.8
"Arsenal ",29800437,211,19306,0.36,8.3
"Henry Cavill ",27246324,162,569,5.77,8.2
"Mia K ",26351655,2281,2265,2.54,8.1
"Liam Payne ",26248371,256,21,4.41,8
"Raphael Varane ",23079212,254,1207,0.72,7
"One Direction ",22387194,53,733,17.9,6.8
"Rosie Hw ",20084589,1767,3903,1.25,5.9
"Perrie  ",19258862,405,1327,1.24,5.8
"Louis Tomlinson ",17681740,320,513,3.46,5.5
"Little Mix ",17205538,223,4094,1.29,5.3
"Gordon Ramsay ",18182022,7464,6157,0.31,5.1
"Marcus Rashford Mbe ",17102711,185,933,2.6,5.1
"Tottenham Hotspur ",17092409,312,21013,0.15,4.9
"Rita Ora ",16223938,1278,478,0.27,4.8
"Dr Naomi Campbell ",15985695,133,102,0.4,4.8
"Harry Kane ",17237203,261,1445,0.8,4.6
"Jay Shetty ",15825802,5037,9172,0.82,4.5
"Sam Smith ",14573425,2,99,0.91,4.4
"S O P H I E T U R N E R ",14043699,1163,475,5.07,4.3
"Jessie J ",13961685,1509,535,0.69,4.2
"Julian Alvarez ",16764104,624,423,9.99,4.2
"Emi Martinez ",14599152,578,1274,4.16,4.1
"Amy Jackson ",13647787,715,623,0.46,4.1
"Ksi ",13057597,647,361,0.11,4
"Sophie Dee ",12819848,2541,512,0.87,3.9
"Nof ",11592860,75,67,3.51,3.8
"Kanika Kapoor ",15038713,1366,2951,1.52,3.8
"Tom Felton ",11926526,2030,2111,1.85,3.6
"Steven Gerrard ",11723709,761,1342,0.56,3.5
"Tom Hiddleston ",10699381,112,52,8.4,3.4
"Mercedesamg Petronas F Team ",13557288,47,15585,0.44,3.4
"Calvin Harris ",11435381,1300,234,0.81,3.4
"Raheem Sterling X  ",10788703,1288,872,1.84,3.3
"Jade Amelia Thirlwall ",10568942,896,258,1.59,3.2
"Ed Westwick ",11119412,109,1088,1.08,3.2
"Anya Taylorjoy ",11774313,412,1308,9.29,3
"England Football Team ",12384137,386,9587,0.32,3
"Maisie Williams ",9589750,1094,116,1.19,2.9
"Tom Hardy ",10142386,2,426,0.94,2.9
"Jlingz ",9289246,618,859,1.95,2.8
"Tom Ellis ",9092696,431,964,2.23,2.8
"Florence Pugh ",9417256,723,1486,5.31,2.8
"Phil Foden ",12470995,489,689,10.2,2.8
"Zoe Sugg ",9221969,704,2173,0.11,2.8
"Jack Grealish ",9251561,608,992,8.38,2.7
"Charlotte Letitia Crosby ",8744634,2286,912,0.57,2.6
"Holly Willoughby ",8411242,311,3207,0.32,2.6
"John Terry ",8797087,1185,2422,1.01,2.5
"Karen Gillan ",7886163,1020,1136,2.09,2.4
"Mollymae Hague ",8287546,715,1235,0.13,2.4
"The Uk Rider ",8197751,211,1043,13.9,2.4
"Bela Padilla ",7901083,6681,1110,0.6,2.3
"Hero Fiennes Tiffin ",7216612,1096,27,9.89,2.3
"Lewis Capaldi ",7240412,807,98,4.7,2.2
"Jessica Alves ",7124245,4028,1055,0.05,2.2
"Arctic Monkeys ",7605507,0,144,8.84,2.2
"Gregg Sulkin ",7104503,902,438,0.56,2.2
"Harry Styles Hq ",6840122,10,283,14.5,2.2
"Orlando Bloom ",7158517,1352,1048,0.62,2.1
"Frank Lampard ",7005887,575,462,2.02,2.1
"Julius Dein ",6369899,6947,964,3.31,2
"Michelle Keegan ",7319450,606,1287,0.97,2
"Mario Testino ",6661364,187,2524,0.36,2
"Mason Mount ",6059031,925,494,13.7,1.9
"James Corden ",6158571,313,105,1.29,1.9
"Idris Elba ",6737745,802,43,1.22,1.9
"Regejean Page ",6623931,732,193,6.89,1.9
"Sean Garnier World Champion ",6102384,3065,5762,3.09,1.9
"Nathalie Emmanuel ",6089513,4673,2463,0.75,1.9
"Kit Connor ",5859600,903,47,28.6,1.8
"Charlie Heaton ",5533284,389,202,5.46,1.8
"Saraya Bevis ",NULL,NULL,NULL,2.5,1.8
"Stacey Solomon ",6036827,6260,1626,5.18,1.8
"Rio Ferdinand Obe ",6378456,2122,2362,0.75,1.8
"Queen ",6146824,134,1996,0.7,1.8
"Ozzy Osbourne ",6202668,78,4093,0.56,1.7
"Zakir Khan ",6344216,1346,638,4.63,1.7
"Kate Beckinsale ",5629715,1329,944,0.84,1.7
"Tommy Tnt Fury ",5452500,850,985,3.58,1.7
"Vicky Pattison ",5522456,7400,10785,0.3,1.7
"Catherine Zetajones ",5718394,299,2013,0.73,1.6
"Jordan Henderson ",5385819,442,982,3.73,1.6
"Harry Maguire ",5386235,508,1171,3.02,1.6
"Adnan Alkateb ",5775620,730,4842,1.01,1.6
"Alex Oxladechamberlain ",5152008,501,907,3.35,1.6
"Luke Shaw ",5196462,219,310,3.87,1.5
"Ranjit Bawa ",5092727,0,1541,0.97,1.5
" ",5320384,1706,162,0.1,1.5
